"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","in_reply_to_screen_name"
"Wed Nov 13 16:42:16 +0000 2024","1856739369824215213","Elon Musk firing 8 % of the staff on Day 1 at DOGE: https://t.co/ kMoX 5mx ","498","1601","6686","48844","en","1389913567671975937","1856739369824215213","cb_doge","https://x.com/cb_doge/status/1856739369824215213","https://pbs.twimg.com/amplify_video_thumb/1856738610898513920/img/cIXnjDKYQn2qkdA-.jpg","Dogecoin.com",""
"Sun Nov 10 17:04:32 +0000 2024","1855657805816201355","🇺🇸 TR MP: Never sell your Bitcoin. Never Sell Your $DOGE https://t.co/PZC3 F7W1 ","27","235","506","3181","en","628253959","1855657805816201355","ElonMuskPDA","https://x.com/ElonMuskPDA/status/1855657805816201355","https://pbs.twimg.com/ext_tw_video_thumb/1855490363202686976/pu/img/IUzoTXyFq1X9aM5P.jpg","Mars",""
"Thu Nov 14 20:55:42 +0000 2024","1857165533163983064","Interact with this post if you hold $DOGE I have a surprise for you https://t.co/t E qsp8pZ","18","1180","465","6295","en","1362987750312599552","1857165533163983064","Investments_CEO","https://x.com/Investments_CEO/status/1857165533163983064","https://pbs.twimg.com/media/GcX6NdLWcAAOdyq.jpg","Not Financial Advice",""
"Tue Nov 12 08:50:12 +0000 2024","1856258182529646646","Hit like if you are holding $DOGE https://t.co/plHuI3EGEH","24","227","569","7872","en","1362987750312599552","1856258182529646646","Investments_CEO","https://x.com/Investments_CEO/status/1856258182529646646","https://pbs.twimg.com/media/GcLA-omWYAE2sPD.jpg","Not Financial Advice",""
"Fri Nov 15 02:28:56 +0000 2024","1857249394371736043","We are launching soon $DOGE is a decentralized meme coin built on #Solana First Address = 1 $DOGE Follow like RT (Drop your $SOL wallet) Snapshot in 8 hours get ready ⏰ #SolanaAirdrop https://t.co/Zex1sEnEWn","7","378","286","419","en","1799460996576075776","1857249394371736043","SOLANAXDOGE","https://x.com/SOLANAXDOGE/status/1857249394371736043","https://pbs.twimg.com/media/GcZGanVW0AAmefB.jpg","Solana Blockchain",""
"Thu Nov 14 16:45:50 +0000 2024","1857102652414308839","Me waiting to toss $1 into the DOGE dip https://t.co/mGGMe5dFMX","7","40","65","697","en","1365938037746720768","1857102652414308839","TOPDOGE007","https://x.com/TOPDOGE007/status/1857102652414308839","https://pbs.twimg.com/amplify_video_thumb/1856582682399948800/img/40x_Gc1Mjd9YPaH5.jpg","Malta",""
"Thu Nov 14 15:33:41 +0000 2024","1857084497520459909","@DOGE What about memers? Do you need memers? https://t.co/famqdOv5y5","27","138","567","8348","en","105852422","1857076831104434289","alifarhat79","https://x.com/alifarhat79/status/1857084497520459909","https://pbs.twimg.com/media/GcWwggiWkAAeweB.jpg","","DOGE"
"Fri Nov 15 05:34:37 +0000 2024","1857296125708951841"," It s not going to be business as usual. It s going to be a revolution. 一 Elon Musk https://t.co/eJT Hk hpV","24","234","386","2320","en","1389913567671975937","1857296125708951841","cb_doge","https://x.com/cb_doge/status/1857296125708951841","https://pbs.twimg.com/amplify_video_thumb/1857241399957094400/img/ti0hCxZ7_Wyek4tP.jpg","Dogecoin.com",""
"Mon Nov 11 15:28:34 +0000 2024","1855996043596550554","$DOGE is going to $ Like this post if u believe it ! #DOGE https://t.co/aK wnhSYCG","5","69","194","1662","en","1441676706058620931","1855996043596550554","pIaysome","https://x.com/pIaysome/status/1855996043596550554","https://pbs.twimg.com/tweet_video_thumb/GcHSjyCbwAAafSY.jpg","Mars",""
"Fri Nov 15 03:53:11 +0000 2024","1857270597807726783","Name this band. https://t.co/LW11Te 1HJ","35","766","311","2871","en","1389913567671975937","1857270597807726783","cb_doge","https://x.com/cb_doge/status/1857270597807726783","https://pbs.twimg.com/media/GcZZwgraAAE03x8.jpg","Dogecoin.com",""
